BN/NE,Category/Cat�gorie,Designation,Legal Name/Nom l�gal,Account Name/Nom compte,Address Line 1/Adresse ligne 1,Address Line 2/Adresse ligne 2,City/Ville,Province,Postal Code/Code Postal,Country/Pays,Public Contact Name/Nom personne-ressource,Phone/T�l�phone,Email/Courriel,Website/Site Web
118889948RR0001,1,C,PERSONAL ATTENDANT CARE INC.,PERSONAL ATTENDANT CARE INC.,200-1650 DUNDAS ST E,,WHITBY,ON,L1N2K8,CA,"RICK STOCKMAN, CEO",(905) 576-5603,RSTOCKMAN@PACDURHAM.CA,PACDURHAM.CA
118889955RR0001,9,C,COMMUNITY CARE DURHAM,COMMUNITY CARE DURHAM,16100 OLD SIMCOE ROAD,,PORT PERRY,ON,L9L1P3,CA,BRENT FARR EXECUTIVE DIRECTOR,(905) 985-0150,BFARR@COMMUNITYCAREDURHAM.ON.CA,WWW.COMMUNITYCAREDURHAM.ON.CA
118889971RR0001,59,C,DURHAM THERAPEUTIC RIDING ASSOCIATION,DURHAM THERAPEUTIC RIDING ASSOCIATION,404 PEEL STREET,,WHITBY,ON,L1N3Y4,CA,TREASURER,(905) 668-6680,E PALMER@SYMPATICO.CA,
118890011RR0001,1,C,DUTCH HERITAGE VILLA INC.,DUTCH HERITAGE VILLA INC.,480 ELLIOT AVE,,KINGSTON,ON,K7K6J9,CA,,(613) 531-9899,,
118890037RR0001,31,C,DUTTON BAPTIST CHURCH,DUTTON BAPTIST CHURCH,PO BOX 407,,DUTTON,ON,N0L1J0,CA,"TAMMY DEROOS, TREASURER",(519) 762-0614,TAMMYDEROOS@SYMPATICO.CA,WWW.DISBC.COM
118890045RR0001,5,C,DUVAL ANNUAL COMBINED APPEAL,DUVAL ANNUAL COMBINED APPEAL,BOX 66,,DUVAL,SK,S0G1G0,CA,"JEFF JONES, SECRETARY-TREAS",(306) 725-4152,JEFF.JONES@SASKTEL.NET,
118890052RR0001,3,B,DUVAL FAMILY FOUNDATION INC.,DUVAL FAMILY FOUNDATION INC.,1200 410 22ND STREET EAST,,SASKATOON,SK,S7K5T6,CA,,(306) 934-8000,,
118890086RR0001,11,C,DYING WITH DIGNITY CANADA,Dying With Dignity Canada,802-55 EGLINTON AVE E,,TORONTO,ON,M4P1G8,CA,WANDA MOM'S CEO,(416) 486-3998,WANDA@DYINGWITHDIGNITY.CA,WWW.DYINGWITHDIGNITY.CA
118890110RR0001,59,C,DYSART & DISTRICT HISTORICAL SOCIETY,DYSART & DISTRICT HISTORICAL SOCIETY,BOX 303,,DYSART,SK,S0G1H0,CA,ELNOR HARRISON,(306) 432-2204,,
118890151RR0001,56,C,EAGLE BAY CAMP,EAGLE BAY CAMP,PO BOX 1162,STN MAIN,VERNON,BC,V1T6N4,CA,,,,
118890169RR0001,39,C,EAGLE BAY COMMUNITY CHURCH,EAGLE BAY COMMUNITY CHURCH,4802 EAGLE BAY ROAD,,EAGLE BAY,BC,V0E1T0,CA,DAN KLIM-HANSEN,(250) 675-5038,HANSEN@JESTREAM.NET,
118890177RR0001,31,C,EAGLE LAKE COMMUNITY CHURCH,EAGLE LAKE COMMUNITY CHURCH,2605 EAGLE LAKE RD BOX 29,,EAGLE LAKE,ON,K0M1M0,CA,PASTOR,(705) 754-2240,NANCY.MCLUSKEY@SYMPATICO.CA,WWW.EAGLELAKECC.COM
118890201RR0001,47,C,EAGLE RIDGE UNITED CHURCH,EAGLE RIDGE UNITED CHURCH,2813 GLEN DRIVE,,COQUITLAM,BC,V3B2P6,CA,TREASURER,(604) 945-9811,ERUC@TELUS.NET,WWW.ERUC.CA
118890219RR0001,34,C,EAGLESHAM COMMUNITY CHURCH,EAGLESHAM COMMUNITY CHURCH,BOX 181,,EAGLESHAM,AB,T0H1H0,CA,,(780) 359-2466,,
118890235RR0001,56,A,EAGLES NEST RANCH ASSOCIATION,EAGLES NEST RANCH ASSOCIATION,PO BOX 134 LCD1,,MEDICINE HAT,AB,T1A7E8,CA,LANDEN DORSCH,(403) 527-3815,LANDEN@ENR.CA,ENR.CA
118890300RR0001,44,C,EARL GREY UNITED CHURCH,EARL GREY UNITED CHURCH,BOX 75,,EARL GREY,SK,S0G1J0,CA,IVY KIEL,(306) 939-2121,IVYKL@HOTMAIL.COM,
118890367RR0001,22,C,EARLY MUSIC SOCIETY OF THE ISLANDS,EARLY MUSIC SOCIETY OF THE ISLANDS,782 BLACKBERRY RD,,VICTORIA,BC,V8X5J3,CA,"JAMES YOUNG, ARTISTIC DIRECTOR",(250) 882-5058,INFO@EARLYMUSICSOCIETYOFTHEISLANDS.CA,WWW.EARLYMUSICSOCIETYOFTHEISLANDS.CA
118890383RR0001,52,C,EARTHLIFE CANADA FOUNDATION,EARTHLIFE CANADA FOUNDATION,PO BOX 638,,QUEEN CHARLOTTE CITY,BC,V0T1S0,CA,LESLIE JOHNSON,(250) 559-4133,LJOHNSON@SPRUCEROOTS.ORG,WWW.SPRUCEROOTS.ORG
118890391RR0001,1,C,MARGARET'S HOUSING AND COMMUNITY SUPPORT SERVICES INC.,MARGARET'S HOUSING AND COMMUNITY SUPPORT SERVICES INC.,301 BROADVIEW AVE.,,TORONTO,ON,M4M2G8,CA,"DIANE WALTER,E.D.",(416) 463-1481,DIANE@MARGARETS.CA,WWW.MARGARETS.CA
118890409RR0001,59,C,EAST BERTIE AUXILIARY VOLUNTEER FIRE ASSOCIATION,EAST BERTIE AUXILIARY VOLUNTEER FIRE ASSOCIATION,1015 DOMINION ROAD,,FORT ERIE,ON,L2A1H3,CA,,,,
118890441RR0001,56,C,EAST CHESTER RECREATION ASSOCIATION,EAST CHESTER RECREATIONAL ASSOCIATION,92 GOAT LAKE ROAD,,CHESTER,NS,B0J1J0,CA,DELLA STEVENS,(902) 275-2174,,
118890458RR0001,39,C,EAST CHRISTIAN REFORMED CHURCH,EAST CHRISTIAN REFORMED CHURCH,4766 EGREMONT DRIVE,RR 1,STRATHROY,ON,N7G3H3,CA,,(519) 245-0851,,
118890565RR0001,56,C,EASTEND ACTIVITY CENTRE INC.,EASTEND ACTIVITY CENTRE INC.,BOX 504,,EASTEND,SK,S0N0T0,CA,,(306) 295-3700,,
118890573RR0001,50,C,EASTEND ARTS COUNCIL INC,EASTEND ARTS COUNCIL INC.,P.O. BOX 415,,EASTEND,SK,S0N0T0,CA,,,,
118890581RR0001,9,C,MONCTON EAST YOUTH CENTRE LE CENTRE DE LOISIR POUR LA JEUNESSE DE L'EST DE MONCTON INC.,MONCTON EAST YOUTH CENTRE LE CENTRE DE LOISIR POUR LA JEUNESSE DE L'EST DE MONCTON INC.,43 FERGUS ST,,MONCTON,NB,E1C2W3,CA,LLOYD FRENCH TREASURER,(506) 857-0358,,
118890599RR0001,59,C,EASTEND CEMETERY IMPROVEMENT LEAGUE,EASTEND CEMETERY IMPROVEMENT LEAGUE,BOX 405,,EASTEND,SK,S0N0T0,CA,DARREN HOLMBERG,(306) 295-3309,,
118890607RR0001,39,C,LONDON CENTRAL CHURCH OF GOD,LONDON CENTRAL CHURCH OF GOD,161 SANDERS ST,,LONDON,ON,N5Z2S7,CA,,(519) 659-9189,,
118890623RR0001,52,C,EASTEND HISTORICAL MUSEUM & CULTURE CENTRE INC.,EASTEND HISTORICAL MUSEUM & CULTURE CENTRE INC.,BOX 214,,EASTEND,SK,S0N0T0,CA,,(306) 295-3375,,
118890656RR0001,56,C,EASTEND RINK COMPLEX INC.,EASTEND RINK COMPLEX INC.,BOX 517,,EASTEND,SK,S0N0T0,CA,JULIE VASKEVICIUS AUDITOR,,,
118890664RR0001,49,C,THE EASTERN ASSOCIATION OF NORTH AMERICAN BAPTIST CHURCHES,THE EASTERN ASSOCIATION OF NORTH AMERICAN BAPTIST CHURCHES,500 KILARNEY CRES,,BURLINGTON,ON,L7L2N7,CA,GERRY WILLARD - TREASURER,(416) 621-7881,,
118890672RR0001,11,C,EASTERN CANADA ASSOCIATION OF THE DEAF INCORPORATED,EASTERN CANADA ASSOCIATION OF THE DEAF INCORPORATED,8 DALKEITH DRIVE,,DARTMOUTH,NS,B2W4E8,CA,,,,
118890706RR0001,44,C,EASTERN GUYSBOROUGH PASTORAL CHARGE,EASTERN GUYSBOROUGH PASTORAL CHARGE,RR 2,,GUYSBOROUGH,NS,B0H1N0,CA,,(902) 533-4090,,
118890714RR0001,9,C,EASTERN INTERLAKE HANDI-VAN INC.,EASTERN INTERLAKE HANDI-VAN INC.,BOX 1928,,GIMLI,MB,R0C1B0,CA,TREASURER,(204) 642-5792,,
118890771RR0001,21,C,EASTERN NEWFOUNDLAND SCIENCE FAIRS COUNCIL INC.,EASTERN NEWFOUNDLAND SCIENCE FAIRS COUNCIL Inc.,250 LEMARCHANT RD.,P.O. BOX 26036,ST. JOHNS,NL,A1E0A5,CA,YVONNE DAWE,(709) 753-3829,YVONNEDAWE@ESDNL.CA,HTTP://EASTERN.SCIFAIRS.K12.NF.CA
118890797RR0001,22,C,QUINTE SYMPHONY,QUINTE SYMPHONY,PO BOX 22113,,BELLEVILLE,ON,K8N2Z5,CA,TREASURER,(613) 967-3970,INFO@QUINTESYMPHONY.COM,WWW.QUINTESYMPHONY.COM
118890805RR0001,22,C,EASTERN ONTARIO DRAMA LEAGUE,EASTERN ONTARIO DRAMA LEAGUE,5266 LONG ISLAND ROAD,,MANOTICK,ON,K4M1E7,CA,TREASURER,(613) 692-0739,RFMOORE@SYMPATICO.CA,WWW.EODL.ORG
118890821RR0001,55,C,EASTERN ONTARIO EMERGENCY TRAINING ACADEMY,Eastern Ontario Emergency Training Academy,P.O. BOX 460,,NORWOOD,ON,K0L2V0,CA,"ROBERT BROWNING, EXECUTIVE DIRECTOR",(705) 639-2121,INFO@EOFA.CA,WWW.EOFA.CA
118890847RR0001,9,C,EASTERN SHORE FOOD BANK,EASTERN SHORE FOOD BANK,SITE 3 COMP 17,,HEAD JEDDORE,NS,B0J1P0,CA,,(902) 889-9243,,
118890888RR0001,9,C,CENTRE D'ACTION BENEVOLE DE LA MISSISQUOI-NORD INC.,CENTRE D'ACTION B�N�VOLE DE LA MISSISQUOI-NORD INC.,"314-B, RUE PRINCIPALE",,MANSONVILLE,QC,J0E1X0,CA,DIRECTOR GENERAL,(450) 292-3114,INFOS@CABMN.ORG,CABMN.ORG
118890904RR0001,1,C,EASTER SEAL HOUSE SOCIETY,EASTER SEAL HOUSE SOCIETY,3981 OAK ST,,VANCOUVER,BC,V6H4H5,CA,DIANA BROWN,(604) 873-1865,DBROWN@LIONSBC.CA,WWW.LIONSBC.CA
118890938RR0001,9,C,EAST FERRIS SANTA CLAUS FUND,EAST FERRIS SANTA CLAUS FUND,"R.R. #1,89 BIG MOOSE ROAD",,CORBEIL,ON,P0H1K0,CA,,(705) 752-2012,,
118891027RR0001,39,C,EAST HAMILTON SPIRITUAL CHURCH,EAST HAMILTON SPIRITUAL CHURCH,83 OTTAWA ST NORTH,,HAMILTON,ON,L8H3Y9,CA,,(905) 545-7050,,
118891043RR0001,39,C,Lifepoint United Pentecostal Church,Lifepoint United Pentecostal Church,887 KING STREET EAST,,HAMILTON,ON,L8M1B5,CA,"CLAUDIA MONTAN, SECRETARY",(905) 966-2049,,
118891076RR0001,44,C,EAST KORAH-MAXWELL UNITED CHURCH,EAST KORAH-MAXWELL UNITED CHURCH,151 FOURTH LINE WEST,,SAULT STE MARIE,ON,P6A0B6,CA,RON GODFREY,(705) 759-4937,RCGODFREY@SHAW.CA,
118891159RR0001,37,C,TRINITY PRESBYTERIAN CHURCH,TRINITY PRESBYTERIAN CHURCH,720 NINTH AVE,,HAMILTON,ON,L8T2A3,CA,REV. DR PHILIP WILSON,(905) 385-5984,TRINITYPC@SHAW.CA,TRINITYHAMILTON.CA
118891167RR0001,31,C,EAST NISSOURI UNION CHURCH,EAST NISSOURI UNION CHURCH,RR#1,,LAKESIDE,ON,N0M2G0,CA,,,ENUC@LIVE.CA,HTTP://ENUC.ORG
118891183RR0001,21,C,EAST NORTHUMBERLAND SECONDARY SCHOOL SCHOLARSHIP FUND,EAST NORTHUMBERLAND SECONDARY SCHOOL SCHOLARSHIP FUND,71 DUNDAS ST.,,BRIGHTON,ON,K0K1H0,CA,MS. ANGELA THOMPSON,(613) 475-0540,ANGELA THOMPSON@KPRDSB.CA,
118891191RR0001,31,C,EAST OLDS BAPTIST CHURCH,EAST OLDS BAPTIST CHURCH,RR 1 SITE 5 BOX 27,,OLDS,AB,T4H1P2,CA,BRENT KRAUSE TREASURER,(403) 556-2821,EOBC@XPLORNET.CA,
118891209RR0001,44,C,EASTONS CORNERS UNITED CHURCH,EASTONS CORNERS UNITED CHURCH,2296 COUNTY RD 16 RR 2,,MERRICKVILLE,ON,K0G1N0,CA,,,,
118891274RR0001,59,C,EASTPORT PENINSULA VOLUNTEER FIRE DEPARTMENT,EASTPORT PENINSULA VOLUNTEER FIRE DEPARTMENT,BOX 117,,EASTPORT,NL,A0G1Z0,CA,,(709) 677-2642,,
